timestamp,open_interest,source
1743282000,53020.99100000,bybit
1743285600,52856.15300000,bybit
1743289200,52901.83400000,bybit
1743292800,52979.61900000,bybit
1743296400,53103.43500000,bybit
1743300000,52923.81200000,bybit
1743303600,52569.20300000,bybit
1743307200,52762.92900000,bybit
1743310800,52818.57100000,bybit
1743314400,52745.15400000,bybit
1743318000,52641.99400000,bybit
1743321600,52717.18000000,bybit
1743325200,52896.12100000,bybit
1743328800,52970.27100000,bybit
1743332400,52735.70800000,bybit
1743336000,52672.54100000,bybit
1743339600,52718.82700000,bybit
1743343200,52627.54700000,bybit
1743346800,52828.83700000,bybit
1743350400,52962.44800000,bybit
1743354000,51965.72800000,bybit
1743357600,51708.05300000,bybit
1743361200,51833.64900000,bybit
1743364800,51908.78100000,bybit
1743368400,51752.04000000,bybit
1743372000,51481.66300000,bybit
1743375600,51400.79900000,bybit
1743379200,51839.25900000,bybit
1743382800,52003.11900000,bybit
1743386400,51879.62800000,bybit
1743390000,51902.62500000,bybit
1743393600,51648.72600000,bybit
1743397200,51661.58900000,bybit
1743400800,51965.71000000,bybit
1743404400,52285.77700000,bybit
1743408000,52163.72600000,bybit
1743411600,52245.30900000,bybit
1743415200,51750.22200000,bybit
1743418800,51708.26200000,bybit
1743422400,51606.48600000,bybit
1743426000,51351.47200000,bybit
1743429600,50986.05400000,bybit
1743433200,51229.03700000,bybit
1743436800,51359.29400000,bybit
1743440400,51122.08300000,bybit
1743444000,51356.18600000,bybit
1743447600,51662.58100000,bybit
1743451200,51995.98000000,bybit
1743454800,52864.60100000,bybit
1743458400,52839.25900000,bybit
1743462000,53083.14900000,bybit
1743465600,53083.88300000,bybit
1743469200,53296.68900000,bybit
1743472800,53019.00500000,bybit
1743476400,52724.15300000,bybit
1743480000,52854.08200000,bybit
1743483600,52771.20300000,bybit
1743487200,52771.82300000,bybit
1743490800,53241.23800000,bybit
1743494400,53100.93400000,bybit
1743498000,53011.87900000,bybit
1743501600,53077.38300000,bybit
1743505200,53148.76400000,bybit
1743508800,52886.75900000,bybit
1743512400,52995.69000000,bybit
1743516000,53316.90200000,bybit
1743519600,51753.81000000,bybit
1743523200,51645.07200000,bybit
1743526800,52928.53800000,bybit
1743530400,53184.98900000,bybit
1743534000,52766.51900000,bybit
1743537600,53048.32900000,bybit
1743541200,52445.52600000,bybit
1743544800,52441.79100000,bybit
1743548400,52778.09100000,bybit
1743552000,52868.03500000,bybit
1743555600,52352.49800000,bybit
1743559200,52137.33600000,bybit
1743562800,52300.15300000,bybit
1743566400,52226.51500000,bybit
1743570000,52045.90300000,bybit
1743573600,51609.28500000,bybit
1743577200,51394.40100000,bybit
1743580800,51500.03300000,bybit
1743584400,51417.63000000,bybit
1743588000,51915.33400000,bybit
1743591600,51942.82500000,bybit
1743595200,51998.23800000,bybit
1743598800,52336.47200000,bybit
1743602400,52655.13200000,bybit
1743606000,52900.13400000,bybit
1743609600,53010.43800000,bybit
1743613200,53254.03700000,bybit
1743616800,52705.64600000,bybit
1743620400,52177.73600000,bybit
1743624000,51595.05600000,bybit
1743627600,50386.95300000,bybit
1743631200,49750.35400000,bybit
1743634800,49289.29800000,bybit
1743638400,49369.16300000,bybit
1743642000,48993.46900000,bybit
1743645600,48488.76800000,bybit
1743649200,47619.37500000,bybit
1743652800,47466.27200000,bybit
1743656400,47571.24800000,bybit
1743660000,47578.36200000,bybit
1743663600,47738.82000000,bybit
1743667200,48046.86900000,bybit
1743670800,48157.29500000,bybit
1743674400,48502.31700000,bybit
1743678000,48755.12300000,bybit
1743681600,48770.57200000,bybit
1743685200,49079.93200000,bybit
1743688800,50105.23700000,bybit
1743692400,50060.89400000,bybit
1743696000,50238.06900000,bybit
1743699600,50826.22600000,bybit
1743703200,50407.20000000,bybit
1743706800,50209.15800000,bybit
1743710400,49966.01200000,bybit
1743714000,49773.37900000,bybit
1743717600,48662.75800000,bybit
1743721200,48433.23800000,bybit
1743724800,48211.77300000,bybit
1743728400,48109.51600000,bybit
1743732000,47960.80000000,bybit
1743735600,47975.86500000,bybit
1743739200,47988.92300000,bybit
1743742800,48179.97700000,bybit
1743746400,48068.23300000,bybit
1743750000,48334.17700000,bybit
1743753600,49083.49600000,bybit
1743757200,50449.63400000,bybit
1743760800,50326.87200000,bybit
1743764400,49695.45500000,bybit
1743768000,48252.44200000,bybit
