timestamp,funding_rate,source
1714780800,-0.00009541,bybit
1714809600,0.00001769,bybit
1714838400,-0.00002317,bybit
1714867200,0.00003013,bybit
1714896000,0.00007133,bybit
1714924800,0.0001,bybit
1714953600,0.00004545,bybit
1714982400,0.00007226,bybit
1715011200,0.00008717,bybit
1715040000,0.0001,bybit
1715068800,0.0001,bybit
1715097600,0.0001,bybit
1715126400,0.0001,bybit
1715155200,0.0001,bybit
1715184000,0.0001,bybit
1715212800,0.0001,bybit
1715241600,0.00004634,bybit
1715270400,0.00008999,bybit
1715299200,0.00000272,bybit
1715328000,0.00001145,bybit
1715356800,0.0001,bybit
1715385600,0.0001,bybit
1715414400,0.0001,bybit
1715443200,0.0001,bybit
1715472000,0.0001,bybit
1715500800,0.00005654,bybit
1715529600,0.0001,bybit
1715558400,-0.00000144,bybit
1715587200,0.00009033,bybit
1715616000,0.00000959,bybit
1715644800,-0.00002451,bybit
1715673600,0.0001,bybit
1715702400,0.00009399,bybit
1715731200,0.00006589,bybit
1715760000,0.00003598,bybit
1715788800,-0.00006766,bybit
1715817600,0.00003295,bybit
1715846400,0.00006558,bybit
1715875200,0.00002947,bybit
1715904000,0.0001,bybit
1715932800,0.0001,bybit
1715961600,0.0001,bybit
1715990400,0.00002216,bybit
1716019200,0.00007849,bybit
1716048000,0.00001546,bybit
1716076800,0.00004445,bybit
1716105600,0.00009105,bybit
1716134400,0.00007228,bybit
1716163200,0.00001894,bybit
1716192000,0.0001,bybit
1716220800,0.00006146,bybit
1716249600,0.0001,bybit
1716278400,0.0001,bybit
1716307200,0.0001,bybit
1716336000,0.0001,bybit
1716364800,0.0001,bybit
1716393600,0.0001,bybit
1716422400,0.0001,bybit
1716451200,0.00015256,bybit
1716480000,0.00010356,bybit
1716508800,0.0001,bybit
1716537600,0.0001,bybit
1716566400,0.0001,bybit
1716595200,0.0001,bybit
1716624000,0.0001,bybit
1716652800,0.0001,bybit
1716681600,0.0001,bybit
1716710400,0.0001,bybit
1716739200,0.0001,bybit
1716768000,0.0001,bybit
1716796800,0.0001,bybit
1716825600,0.0001,bybit
1716854400,0.0001,bybit
1716883200,0.0001,bybit
1716912000,0.0001,bybit
1716940800,0.0001,bybit
1716969600,0.00010687,bybit
1716998400,0.0001,bybit
1717027200,0.0001,bybit
1717056000,0.0001,bybit
1717084800,0.0001,bybit
1717113600,0.0001,bybit
1717142400,0.0001,bybit
1717171200,0.0001,bybit
1717200000,0.0001,bybit
1717228800,0.0001,bybit
1717257600,0.0001,bybit
1717286400,0.0001,bybit
1717315200,0.0001,bybit
1717344000,0.0001,bybit
1717372800,0.0001,bybit
1717401600,0.0001,bybit
1717430400,0.0001,bybit
1717459200,0.0001,bybit
1717488000,0.00016251,bybit
1717516800,0.0001,bybit
1717545600,0.0001,bybit
1717574400,0.0001104,bybit
1717603200,0.0001,bybit
1717632000,0.0001,bybit
1717660800,0.0001,bybit
1717689600,0.0001,bybit
1717718400,0.0001,bybit
1717747200,0.0001,bybit
1717776000,0.00014636,bybit
1717804800,0.00015015,bybit
1717833600,0.0001,bybit
1717862400,0.0001,bybit
1717891200,0.0001,bybit
1717920000,0.0001,bybit
1717948800,0.0001,bybit
1717977600,0.0001,bybit
1718006400,0.0001,bybit
1718035200,0.0001,bybit
1718064000,0.0001,bybit
1718092800,0.0001,bybit
1718121600,0.0001,bybit
1718150400,0.00002722,bybit
1718179200,0.00001528,bybit
1718208000,0.00002555,bybit
1718236800,0.0001,bybit
1718265600,0.00004526,bybit
1718294400,0.00004705,bybit
1718323200,0.00002162,bybit
1718352000,0.0001,bybit
1718380800,0.00004866,bybit
1718409600,0.00000849,bybit
1718438400,0.00009013,bybit
1718467200,0.00002833,bybit
1718496000,0.00001204,bybit
1718524800,-0.00001968,bybit
1718553600,-0.00002464,bybit
1718582400,-0.00002987,bybit
1718611200,0.0000041,bybit
1718640000,-0.00000986,bybit
1718668800,0.00000232,bybit
1718697600,0.0001,bybit
1718726400,0.00006445,bybit
1718755200,0.0001,bybit
1718784000,0.00007993,bybit
1718812800,0.00000173,bybit
1718841600,0.00008409,bybit
1718870400,0.0001,bybit
1718899200,0.0001,bybit
1718928000,0.000076,bybit
1718956800,-0.00000157,bybit
1718985600,-0.00003133,bybit
1719014400,0.00009131,bybit
1719043200,-0.00007713,bybit
1719072000,0.00001375,bybit
1719100800,0.00001361,bybit
1719129600,-0.00002913,bybit
1719158400,0.00003299,bybit
1719187200,0.00001505,bybit
1719216000,-0.00006977,bybit
1719244800,-0.0001414,bybit
1719273600,-0.0001186,bybit
1719302400,-0.00008286,bybit
1719331200,-0.00002683,bybit
1719360000,-0.00012635,bybit
1719388800,-0.00009366,bybit
1719417600,-0.00006612,bybit
1719446400,-0.00003526,bybit
1719475200,0.00004902,bybit
1719504000,0.00008267,bybit
1719532800,0.00003226,bybit
1719561600,0.00002455,bybit
1719590400,-0.00002545,bybit
1719619200,0.0001,bybit
1719648000,-0.0001494,bybit
1719676800,0.00005126,bybit
1719705600,-0.0000587,bybit
1719734400,-0.00006335,bybit
1719763200,-0.00014348,bybit
1719792000,-0.00001829,bybit
1719820800,-0.00011856,bybit
1719849600,-0.00003625,bybit
1719878400,-0.0000661,bybit
1719907200,-0.00000581,bybit
1719936000,0.00005178,bybit
1719964800,0.00004183,bybit
1719993600,0.00003338,bybit
1720022400,-0.00002314,bybit
1720051200,0.00005803,bybit
1720080000,0.00003251,bybit
1720108800,-0.00002617,bybit
1720137600,0.00004545,bybit
1720166400,0.0001,bybit
1720195200,0.00001577,bybit
1720224000,-0.00001215,bybit
1720252800,0.00007586,bybit
1720281600,0.00005275,bybit
1720310400,-0.00005467,bybit
1720339200,0.0001,bybit
1720368000,0.00005711,bybit
1720396800,-0.00002263,bybit
1720425600,0.00008711,bybit
1720454400,0.0001,bybit
1720483200,0.00008992,bybit
1720512000,0.0001,bybit
1720540800,0.0001,bybit
1720569600,0.0001,bybit
1720598400,0.00003916,bybit
1720627200,0.0001,bybit
1720656000,0.0001,bybit
1720684800,0.0000413,bybit
1720713600,0.00000784,bybit
1720742400,0.0001,bybit
1720771200,0.00004673,bybit
1720800000,-0.00003418,bybit
1720828800,-0.00000164,bybit
1720857600,0.00000098,bybit
1720886400,0.0000782,bybit
1720915200,0.00005461,bybit
1720944000,0.0001,bybit
1720972800,0.00002743,bybit
1721001600,0.00000134,bybit
1721030400,-0.00000493,bybit
1721059200,0.0001,bybit
1721088000,-0.00004633,bybit
1721116800,0.0001,bybit
1721145600,0.0001,bybit
1721174400,0.00008038,bybit
1721203200,0.0001,bybit
1721232000,-0.00001974,bybit
1721260800,0.00000266,bybit
1721289600,0.00005085,bybit
1721318400,0.0000133,bybit
1721347200,0.00009438,bybit
1721376000,0.0001,bybit
1721404800,0.0001,bybit
1721433600,0.00009501,bybit
1721462400,0.0000495,bybit
1721491200,0.00003897,bybit
1721520000,0.00008307,bybit
1721548800,0.00006724,bybit
1721577600,0.0001,bybit
1721606400,0.0001,bybit
1721635200,0.0001,bybit
1721664000,0.0001,bybit
1721692800,0.00005306,bybit
1721721600,0.0001,bybit
1721750400,0.00003978,bybit
1721779200,0.0001,bybit
1721808000,0.0001,bybit
1721836800,0.0001,bybit
1721865600,0.0001,bybit
1721894400,0.0001,bybit
1721923200,0.0001,bybit
1721952000,0.00002176,bybit
1721980800,0.00006204,bybit
1722009600,0.00005936,bybit
1722038400,0.00008304,bybit
1722067200,0.0001,bybit
1722096000,0.0001,bybit
1722124800,0.0001,bybit
1722153600,0.0001,bybit
1722182400,0.0001,bybit
1722211200,0.0001,bybit
1722240000,0.0001,bybit
1722268800,0.0001,bybit
1722297600,0.0001,bybit
1722326400,-0.00011367,bybit
1722355200,0.00007656,bybit
1722384000,0.0001,bybit
1722412800,0.0001,bybit
1722441600,0.00004863,bybit
1722470400,0.00009544,bybit
1722499200,0.00007135,bybit
1722528000,0.00003459,bybit
1722556800,0.0001,bybit
1722585600,0.0001,bybit
1722614400,0.00002532,bybit
1722643200,0.00000223,bybit
1722672000,-0.00005581,bybit
1722700800,0.00000073,bybit
1722729600,0.00003485,bybit
1722758400,0.00003978,bybit
1722787200,0.00000503,bybit
1722816000,0.00001975,bybit
1722844800,-0.00000592,bybit
1722873600,-0.00005066,bybit
1722902400,0.00000757,bybit
1722931200,0.00001866,bybit
1722960000,0.0001,bybit
1722988800,0.00002722,bybit
1723017600,0.00006767,bybit
1723046400,0.0001,bybit
1723075200,0.00004616,bybit
1723104000,0.00009389,bybit
1723132800,-0.00002911,bybit
1723161600,-0.0000192,bybit
1723190400,0.00002569,bybit
1723219200,-0.00001845,bybit
1723248000,0.00004448,bybit
1723276800,0.0001,bybit
1723305600,0.00005312,bybit
1723334400,0.00008623,bybit
1723363200,0.00003775,bybit
1723392000,-0.00002976,bybit
1723420800,0.0001,bybit
1723449600,0.0001,bybit
1723478400,0.00002174,bybit
1723507200,-0.00000123,bybit
1723536000,0.0001,bybit
1723564800,0.00004726,bybit
1723593600,-0.0000185,bybit
1723622400,-0.00000316,bybit
1723651200,-0.00001699,bybit
1723680000,0.00001011,bybit
1723708800,0.0000192,bybit
1723737600,0.00005472,bybit
1723766400,0.00003989,bybit
1723795200,0.00004876,bybit
1723824000,0.00003934,bybit
1723852800,0.00006207,bybit
1723881600,0.00006351,bybit
1723910400,0.00008377,bybit
1723939200,0.00007872,bybit
1723968000,-0.00000312,bybit
1723996800,0.00001326,bybit
1724025600,0.00001276,bybit
1724054400,-0.00001638,bybit
1724083200,0.00000469,bybit
1724112000,-0.00002908,bybit
1724140800,0.00006912,bybit
1724169600,0.00001082,bybit
1724198400,-0.00003496,bybit
1724227200,-0.00002723,bybit
1724256000,0.00000096,bybit
1724284800,-0.00000761,bybit
1724313600,0.00004547,bybit
1724342400,0.0000623,bybit
1724371200,0.0001,bybit
1724400000,0.00007561,bybit
1724428800,0.00002511,bybit
1724457600,-0.00002164,bybit
1724486400,0.00008709,bybit
1724515200,0.00009036,bybit
1724544000,0.0001,bybit
1724572800,0.00003955,bybit
1724601600,0.0001,bybit
1724630400,0.0000824,bybit
1724659200,0.0000038,bybit
1724688000,0.00006223,bybit
1724716800,0.00008141,bybit
1724745600,0.00007353,bybit
1724774400,0.0001,bybit
1724803200,-0.00000789,bybit
1724832000,-0.00000581,bybit
1724860800,-0.0000324,bybit
1724889600,0.00001018,bybit
1724918400,0.00003501,bybit
1724947200,0.00000616,bybit
1724976000,-0.0001219,bybit
1725004800,0.00001737,bybit
1725033600,0.00001815,bybit
1725062400,0.00003389,bybit
1725091200,0.00007128,bybit
1725120000,0.00004759,bybit
1725148800,0.00009478,bybit
1725177600,0.00004649,bybit
1725206400,-0.00000928,bybit
1725235200,-0.00002521,bybit
1725264000,-0.00004265,bybit
1725292800,0.00003884,bybit
1725321600,0.00002799,bybit
1725350400,0.00002372,bybit
1725379200,0.00007738,bybit
1725408000,0.00004569,bybit
1725436800,0.00000358,bybit
1725465600,-0.00002771,bybit
1725494400,-0.00004165,bybit
1725523200,-0.00000239,bybit
1725552000,0.00000848,bybit
1725580800,-0.00004633,bybit
1725609600,-0.0000166,bybit
1725638400,0.00000186,bybit
1725667200,0.00002842,bybit
1725696000,0.0000243,bybit
1725724800,0.00003364,bybit
1725753600,0.0000468,bybit
1725782400,0.00001751,bybit
1725811200,0.00003261,bybit
1725840000,0.00009883,bybit
1725868800,0.00009123,bybit
1725897600,-0.0000354,bybit
1725926400,0.0001,bybit
1725955200,0.00001276,bybit
1725984000,0.00000995,bybit
1726012800,0.00004027,bybit
1726041600,0.00001728,bybit
1726070400,0.00009155,bybit
1726099200,0.00000315,bybit
1726128000,0.00006624,bybit
1726156800,0.00002538,bybit
1726185600,0.00003154,bybit
1726214400,-0.0000431,bybit
1726243200,0.00001552,bybit
1726272000,-0.00001724,bybit
1726300800,-0.00000795,bybit
1726329600,-0.00002375,bybit
1726358400,0.00007514,bybit
1726387200,0.00000208,bybit
1726416000,0.00007324,bybit
1726444800,0.00003377,bybit
1726473600,0.00002239,bybit
1726502400,0.00004538,bybit
1726531200,0.0001,bybit
1726560000,0.00007666,bybit
1726588800,0.00002251,bybit
1726617600,0.00000648,bybit
1726646400,0.00005549,bybit
1726675200,0.00008846,bybit
1726704000,0.00009784,bybit
1726732800,0.00006603,bybit
1726761600,0.00005137,bybit
1726790400,0.00003807,bybit
1726819200,-0.00001615,bybit
1726848000,0.0001,bybit
1726876800,0,bybit
1726905600,-0.0000054,bybit
1726934400,-0.00001119,bybit
1726963200,-0.00000558,bybit
1726992000,-0.00004374,bybit
1727020800,0.00005468,bybit
1727049600,0.0001,bybit
1727078400,-0.00001126,bybit
1727107200,0.00004386,bybit
1727136000,0.00008154,bybit
1727164800,0.00007883,bybit
1727193600,0.00002404,bybit
1727222400,0.0001,bybit
1727251200,0.0001,bybit
1727280000,0.0001,bybit
1727308800,0.0001,bybit
1727337600,0.0001,bybit
1727366400,0.00009007,bybit
1727395200,0.00007718,bybit
1727424000,0.0000868,bybit
1727452800,0.0000378,bybit
1727481600,0.00004588,bybit
1727510400,0.0001,bybit
1727539200,0.00006532,bybit
1727568000,0.0001,bybit
1727596800,0.0001,bybit
1727625600,0.0001,bybit
1727654400,0.0001,bybit
1727683200,0.0001,bybit
1727712000,0.0001,bybit
1727740800,0.00002677,bybit
1727769600,0.00000208,bybit
1727798400,0.0000526,bybit
1727827200,0.0001,bybit
1727856000,0.00009064,bybit
1727884800,-0.00000913,bybit
1727913600,0.00007216,bybit
1727942400,0.0001,bybit
1727971200,0.00007355,bybit
1728000000,0.0001,bybit
1728028800,0.00000878,bybit
1728057600,0.00006585,bybit
1728086400,0.00001457,bybit
1728115200,0.00003716,bybit
1728144000,0.00007081,bybit
1728172800,0.0001,bybit
1728201600,0.0001,bybit
1728230400,0.00004254,bybit
1728259200,0.00001298,bybit
1728288000,0.00000109,bybit
1728316800,0.00008184,bybit
1728345600,-0.00002285,bybit
1728374400,-0.00000639,bybit
1728403200,0.0000006,bybit
1728432000,0.00002239,bybit
1728460800,0.00008393,bybit
1728489600,0.00008869,bybit
1728518400,0.00002703,bybit
1728547200,0.00005089,bybit
1728576000,0.00006638,bybit
1728604800,0.00000744,bybit
1728633600,0.00004712,bybit
1728662400,0.0001,bybit
1728691200,0.0001,bybit
1728720000,0.0001,bybit
1728748800,0.00006714,bybit
1728777600,0.0000918,bybit
1728806400,0.00005896,bybit
1728835200,0.00006966,bybit
1728864000,0.00006128,bybit
1728892800,0.0001,bybit
1728921600,0.0001,bybit
1728950400,0.0001,bybit
1728979200,0.0001,bybit
1729008000,0.0001,bybit
1729036800,0.0001,bybit
1729065600,0.0001,bybit
1729094400,0.0001,bybit
1729123200,0.0001,bybit
1729152000,0.0001,bybit
1729180800,0.0001,bybit
1729209600,0.00008463,bybit
1729238400,0.0001,bybit
1729267200,0.0001,bybit
1729296000,0.0001,bybit
